date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades,symbol
2021-09-30,09:30,09:30 AM,102.46,102.02,102.02,102.35,102.208,15275,1561221.375,132,AMD
2021-09-30,09:31,09:31 AM,102.86,102.24,102.24,102.83,102.525,5115,524415.06,70,AMD
2021-09-30,09:32,09:32 AM,102.94,102.51,102.83,102.625,102.78,5314,546175.23,55,AMD
2021-09-30,09:33,09:33 AM,102.97,102.55,102.55,102.825,102.807,4738,487098.42,46,AMD
2021-09-30,09:34,09:34 AM,103.185,102.91,102.91,103.18,103.104,5359,552534.165,58,AMD
2021-09-30,09:35,09:35 AM,103.37,103.17,103.21,103.32,103.282,3887,401458.42,44,AMD
2021-09-30,09:36,09:36 AM,103.545,103.36,103.36,103.465,103.468,7364,761936.725,42,AMD
2021-09-30,09:37,09:37 AM,103.63,103.34,103.515,103.425,103.427,20769,2148071.1,42,AMD
2021-09-30,09:38,09:38 AM,103.55,103.14,103.41,103.2,103.398,3804,393325.46,38,AMD
2021-09-30,09:39,09:39 AM,103.59,103.15,103.29,103.59,103.334,9372,968448.71,96,AMD
2021-09-30,09:40,09:40 AM,103.66,103.37,103.62,103.55,103.54,2897,299954.885,30,AMD
2021-09-30,09:41,09:41 AM,103.445,103.25,103.445,103.33,103.336,1400,144670.26,13,AMD
2021-09-30,09:42,09:42 AM,103.62,103.28,103.42,103.29,103.491,4908,507934.615,48,AMD
2021-09-30,09:43,09:43 AM,103.48,103.1,103.33,103.48,103.28,2493,257476.77,30,AMD
2021-09-30,09:44,09:44 AM,103.56,103.47,103.47,103.56,103.517,3185,329702.56,28,AMD
2021-09-30,09:45,09:45 AM,103.72,103.43,103.59,103.59,103.642,4810,498516.66,59,AMD
2021-09-30,09:46,09:46 AM,103.78,103.57,103.57,103.72,103.691,3477,360533.39,33,AMD
2021-09-30,09:47,09:47 AM,103.91,103.82,103.82,103.9,103.868,2570,266939.9,34,AMD
2021-09-30,09:48,09:48 AM,104.24,103.93,103.93,104.23,104.102,3630,377888.52,46,AMD
2021-09-30,09:49,09:49 AM,104.31,104.04,104.23,104.29,104.217,2888,300979.97,28,AMD
2021-09-30,09:50,09:50 AM,104.37,104.18,104.28,104.18,104.273,3773,393422.29,33,AMD
2021-09-30,09:51,09:51 AM,104.29,104.015,104.205,104.015,104.154,3659,381101.055,33,AMD
2021-09-30,09:52,09:52 AM,104.12,103.97,104.03,104.06,104.042,3320,345419.48,36,AMD
2021-09-30,09:53,09:53 AM,104.3,104.08,104.12,104.3,104.168,4372,455423.52,30,AMD
2021-09-30,09:54,09:54 AM,104.295,104.17,104.28,104.295,104.224,3782,394176.44,32,AMD
2021-09-30,09:55,09:55 AM,104.255,104.07,104.255,104.18,104.153,1633,170081.775,14,AMD
2021-09-30,09:56,09:56 AM,104.435,104.155,104.18,104.4,104.318,4026,419982.915,39,AMD
2021-09-30,09:57,09:57 AM,104.365,103.99,104.365,104.07,104.238,5032,524525.74,34,AMD
2021-09-30,09:58,09:58 AM,104.155,103.85,104.155,103.85,103.931,2238,232597.355,18,AMD
2021-09-30,09:59,09:59 AM,103.85,103.72,103.85,103.775,103.772,1659,172157.24,21,AMD
2021-09-30,10:00,10 AM,103.92,103.64,103.78,103.8,103.728,5257,545300.9,60,AMD
2021-09-30,10:01,10:01 AM,103.9,103.79,103.79,103.9,103.875,1324,137530.86,15,AMD
2021-09-30,10:02,10:02 AM,104.18,103.87,103.88,104.095,103.996,3573,371575.98,38,AMD
2021-09-30,10:03,10:03 AM,104.22,104.15,104.15,104.17,104.183,2053,213887.55,16,AMD
2021-09-30,10:04,10:04 AM,104.2,104.07,104.18,104.16,104.167,1729,180104.31,18,AMD
2021-09-30,10:05,10:05 AM,104.2,103.9,104.2,103.99,104.075,2965,308581.79,21,AMD
2021-09-30,10:06,10:06 AM,104.01,103.68,104,103.7,103.817,2458,255183.04,21,AMD
2021-09-30,10:07,10:07 AM,103.69,103.44,103.69,103.44,103.55,3666,379612.875,31,AMD
2021-09-30,10:08,10:08 AM,103.46,103.35,103.38,103.44,103.415,3856,398767.1,22,AMD
2021-09-30,10:09,10:09 AM,103.59,103.45,103.455,103.59,103.481,11459,1185793.235,47,AMD
2021-09-30,10:10,10:10 AM,103.88,103.53,103.6,103.845,103.71,3802,394304.015,43,AMD
2021-09-30,10:11,10:11 AM,103.78,103.6,103.73,103.68,103.721,1992,206612.18,17,AMD
2021-09-30,10:12,10:12 AM,103.8,103.645,103.7,103.74,103.713,3499,362893.72,43,AMD
2021-09-30,10:13,10:13 AM,103.73,103.54,103.72,103.54,103.664,1756,182034.74,15,AMD
2021-09-30,10:14,10:14 AM,103.5,103.415,103.485,103.425,103.48,1064,110103.025,13,AMD
2021-09-30,10:15,10:15 AM,103.63,103.35,103.43,103.56,103.497,4128,427235.42,38,AMD
2021-09-30,10:16,10:16 AM,103.88,103.52,103.61,103.88,103.718,3416,354300.345,33,AMD
2021-09-30,10:17,10:17 AM,103.91,103.74,103.91,103.74,103.788,2467,256044.86,33,AMD
2021-09-30,10:18,10:18 AM,103.82,103.68,103.74,103.69,103.776,1617,167806.43,18,AMD
2021-09-30,10:19,10:19 AM,103.81,103.67,103.7,103.75,103.734,1466,152074.54,14,AMD
